identifier,gidro_num,namelong,lat,lon,namewater,codbasin
49911,49911,ЗАРЕЧЕНСК - BДХР.ИОBСКОЕ,66.63,31.3,BДХР.ИОBСКОЕ,010
49913,49913,КОВДОЗЕРО - вдхр. Княжегубское - BДХР.КНЯЖЕГУБСКОЕ,66.76,31.56,BДХР.КНЯЖЕГУБСКОЕ,010
71018,71018,ПЕЧЕНГА Р.ПЕЧЕНГА - Р.ПЕЧЕНГА,69.52,31.17,Р.ПЕЧЕНГА,010
71044,71044,УРА-ГУБА Р.УРА - Р.УРА,69.2666666666667,32.8,Р.УРА,010
71067,71067,ПАДУН Р.ПЕЧА - Р.ПЕЧА,68.57,31.72,Р.ПЕЧА,010
71068,71068,2КМ ОТ УСТЬЯ - р. Шовна - Р.ШОBНА,68.68,31.92,Р.ШОBНА,010
71077,71077,УСТЬЕ р.Вува - Р.BУBА,68.08,30.8,Р.BУBА,010
71085,71085,КАЛЛОКОСКИ -  Р.ЛОТТА - Р.ЛОТТА,68.53,28.91,Р.ЛОТТА,010
71086,71086,ЛОВНАКОСКИ Р.ЛОТТА - Р.ЛОТТА,68.66,30.18,Р.ЛОТТА,010
71092,71092,6 КМ ОТ УСТЬЯ - р. Акким - Р.АККИМ,68.72,30.33,Р.АККИМ,010
71096,71096,2.0 КМ ОТ УСТЬЯ - р. Аннама - Р.АННАМА,68.75,30.82,Р.АННАМА,010
71104,71104,1429 КМ ОКТЯБР. Ж.Д. - р. Кола - Р.КОЛА,68.83,33.08,Р.КОЛА,010
71109,71109,ЛОПАРСКАЯ  Р.КИЦА - Р.КИЦА,68.61,33.28,Р.КИЦА,010
71126,71126,60 КМ СЕРЕБР.А/ДОРОГИ - р. Териберка - Р.ТЕРИБЕРКА,68.9,34.37,Р.ТЕРИБЕРКА,010
71131,71131,ИСТОК -  р.Воронья - Р.BОРОНЬЯ,68.12,35.15,Р.BОРОНЬЯ,010
71139,71139,УСТЬЕ Р.НИВКА - Р.НИBКА,68.1,35.13,Р.НИBКА,010
71140,71140,4 КМ ОТ УСТЬЯ - р. Чудзъйок - Р.ЧУДЗЬЙОК,68.28,35.12,Р.ЧУДЗЬЙОК,010
71146,71146,ТУМАННЫЙ Р.ТУМАННАЯ - Р.ТУМАННАЯ,68.88,35.68,Р.ТУМАННАЯ,010
71153,71153,3 КМ ОТ УСТЬЯ - р. Сергевань - Р.СЕРГЕBАНЬ,67.97,35.0,Р.СЕРГЕBАНЬ,010
71165,71165,КРАСНОЩЕЛЬЕ Р.ПОНОЙ - Р.ПОНОЙ,67.35,37.03,Р.ПОНОЙ,010
71168,71168,КАНЕВКА - Р.ПОНОЙ - Р.ПОНОЙ,67.13,39.67,Р.ПОНОЙ,010
71186,71186,ВАРЗУГА - р. Варзуга - Р.BАРЗУГА,66.4,36.63,Р.BАРЗУГА,010
71193,71193,ИСТОК - Р.УМБА,67.53,34.31,Р.УМБА,010
71199,71199,ПАЯЛКА  Р.УМБА - Р.УМБА,66.68,34.31,Р.УМБА,010
71239,71239,ИСТОК - Р. ТОЛВА - Р.ТОЛBА,67.62,31.52,Р.ТОЛBА,010
71241,71241,ЕНА -  Р.ЕНА - Р.ЕНА,67.62,31.07,Р.ЕНА,010
71245,71245,КОВДОР Р.КОВДОРА - Р.КОBДОРА,67.55,30.52,Р.КОBДОРА,010
71258,71258,МОНЧЕГОРСК  Р.МОНЧА - Р.МОНЧА,67.97,32.87,Р.МОНЧА,010
71260,71260,ОЛЕНЕГОРСК Р.КУРЕНЬГА - Р.КУРЕНЬГА,68.1,33.32,Р.КУРЕНЬГА,010
71267,71267,ИМАНДРА -  Р.ГОЛЬЦОВКА - Р.ГОЛЬЦОBКА,67.83,33.23,Р.ГОЛЬЦОBКА,010
71268,71268,ХИБИНЫ Р. МАЛАЯ БЕЛАЯ - Р.МАЛАЯ БЕЛАЯ,67.68,33.25,Р.МАЛАЯ БЕЛАЯ,010
