identifier,count,name,namewater,codbasin,lat,lon
3168,1,ДЖЕКЕМДЭ (ГП ПРИ ДЖИКИМДА М),Р.ОЛЕКМА,172,59.02,121.77
72660,1,ГУЙТОВО,Р.BЕЛИКАЯ,020,57.35,28.26
70182,1,СТОРОЖЕВСК,Р.BЫЧЕГДА,030,61.93,52.33
70298,1,БЕСТУЖЕВО,Р.УСТЬЯ,030,61.5833361111111,43.93
3230,28,БАТАМАЙ (ГП ПРИ БАТАМАЙ М),Р.АЛДАН,173,63.5166666666667,129.483333333333
8317,9,ХАДАМА (ГП ПРИ ХАДАМА М),Р.ХАДАМА,162,53.95,98.81
3597,15,УЛАР,Р.ДЬЭКИНДЭ,174,62.7,110.55
70025,5,ВОЛОШКА,Р.BОЛОШКА,030,61.35,40.1
70408,3,УСТЬ-УНЬЯ,Р.ПЕЧОРА,030,61.8,57.92
10653,1,Подгорное,р. Ур,152,54.3,86.0
10071,1,Сростки,р. Катунь,151,52.24,85.43
3814,23,ТАЙМЫЛЫР,Р.ОЛЕНЕК,176,72.61,122.1
3059,1,ЗУЕВА,Р.МАНЗУРКА,171,53.53,106.0
3861,31,ЮБИЛЕЙНАЯ,Р.ЯНА,177,70.77,136.22
3861,31,ЮБИЛЕЙНАЯ (ГП ПРИ ЮБИЛЕЙНАЯ Г),Р.ЯНА,177,70.77,136.22
10385,2,Чумай,р. Кия,152,55.43,87.48
8281,6,СРЕДНЯЯ БАДАРМА,Р.БАДАРМА,162,57.75,102.25
3042,4,ТАБАГА,Р.ЛЕНА,171,61.83,129.6
70340,6,КРАСНОЕ,Р.Б.ИЛЕША,030,62.46,46.76
70150,4,ПЕРМАС,Р.ЮГ,030,59.33,45.61
3420,4,САЙДЫ,Р.ЯНА,177,68.66,134.5
70466,8,ПЕТРУНЬ,"Р.УСА, БАСС. Р.ПЕЧОРА",030,66.43,60.76
3079,1,ТАЮРА,Р.ТАЮРА,171,56.98,106.58
70205,22,ЮГЫДТЫДОР,Р.BОЛЬ,030,62.65,53.88
3507,1,"5,0 КМ ВЫШЕ УСТЬЯ Р.АРТЫК-ЮРЯХ",Р. ЭЛЬГИ,177,64.4,142.0
70215,1,БОЯР-КЕРОС,Р.ЛОКЧИМ,030,61.58,51.58
72064,1,МАТОКСА,Р.АBЛОГА,020,60.32,30.63
84822,2,АЛИКАЗГАН,"р. Терек, рукав Новый Терек",082,43.6333333333333,47.3833333333333
8150,1,ХАРАТ,Р.ХАРАТ,162,52.76,105.03
70395,18,ВАЖГОРТ,Р.BАШКА,030,64.01,47.05
10453,1,Максимкин Яр,р. Кеть,152,58.4,86.49
10252,28,Томск (пристань),р. Томь,152,56.3,84.55
3015,1,МАРКОВО,Р.ЛЕНА,171,57.33,107.06
70378,2,МАКАРИБ,Р.МЕЗЕНЬ,030,63.63,49.46
8321,3,КАДУЙ,Р.КАДУЙ,162,55.05,99.4
70177,11,УСТЬ-НЕМ,Р.BЫЧЕГДА,030,61.63,54.91
3329,1,ХАТЫРЫК-ХОМО (ГП ПРИ ХАТЫРЫК-ХОМО М),Р.BИЛЮЙ,174,63.95,124.83
70293,6,БАЛАМУТОВСКАЯ,Р.BЕЛЬ,030,61.15,41.98
8326,6,НЕРОЙ (ГП ПРИ НЕРОЙ М),Р.БИРЮСА,162,54.47,97.83
3012,2,ПОДЫМАХИНО,Р.ЛЕНА,171,56.98,106.18
70270,28,МЕТИЛ,Р.НИЖНЯЯ ТОЙМА,030,62.53,44.4
3321,1,СУНТАР,Р.BИЛЮЙ,174,62.17,117.65
3321,1,СУНТАР (ГП ПРИ СУНТАР Г),Р.BИЛЮЙ,174,62.15,117.65
10511,1,КЫШИК - р.Назым,Р.НАЗЫМ,152,61.45,68.9333333333333
3341,4,СЮРЯХ-ХАЯ,Р.АХТАРАНДА,174,63.38,112.08
7003,2,БОЛЬШОЕ ГОЛОУСТНОЕ,Р.ГОЛОУСТНАЯ,163,52.03,105.42
70587,3,ЛУКИНСКОЕ ЗАБОРЬЕ,Р.ПОЧА,030,62.11,42.98
8313,1,ЧУНОЯР,Р.ЧУНА(УДА),162,57.43,97.3
5171,1,КРЫЛОВКА,Р.КРЫЛОBКА,181,44.57,133.42
7167,3,ВЫДРИНО,Р.СНЕЖНАЯ,163,51.45,104.65
3004,2,ЖИГАЛОВО,Р.ЛЕНА,171,54.82,105.13
3030,7,ЛЕНСК,Р.ЛЕНА,171,60.72,114.88
3030,7,ЛЕНСК,Р.ЛЕНА,171,60.72,114.88
70098,1,КАЛИКИНО,Р.СУХОНА,030,60.6855555555556,45.8355555555556
3325,3,ВЕРХНЕВИЛЮЙСК (ГП ПРИ ВЕХНЕВИЛЮЙСК АМСГ),Р.ВИЛЮЙ,174,63.45,120.32
70363,20,ВЕРХНЯЯ ЗОЛОТИЦА,Р.ЗОЛОТИЦА,030,65.66,40.41
8323,12,САВЕЛЬЕВКА,Р.ЧУКША,162,56.13,100.05
70152,10,КИЧМЕНГСКИЙ ГОРОДОК,Р.ЮГ,030,59.98,45.82
70061,15,КОТЛАС ,Р.СЕВЕРНАЯ ДВИНА,030,61.25,46.61
3405,4,ОЛЕНЕК (ГП ПРИ ОЛЕНЕК АЭ),Р.ОЛЕНЕК,176,68.5,112.43
70061,15,КУИМИХА,Р.УДИМА,030,61.18,46.72
70061,15,КОТЛАС,,,61.25,46.62
10033,1,ПОЛНОВАТ - р. Обь,Р.ОБЬ,152,63.8166666666667,65.9
70213,6,ТРОИЦК,Р.НИBШЕРА,030,62.23,52.7
10608,1,Загадный,р. Верхняя Терсь,152,54.08,87.49
3404,3,ЯРОЛЬИН (ГП ПРИ ЯРОЛЬИН М),Р.ОЛЕНЕК,176,67.13,108.53
10234,1,Междуреченск,р. Томь,152,53.42,88.01
